transaction_id,timestamp,amount,merchant_category,card_present,hour_of_day,day_of_week,country_mismatch,previous_fraud_flag,is_fraud
TXN0000000,2024-01-01 04:32:39,27.01,fuel,0,4,0,0,0,0
TXN0000001,2024-01-01 04:58:36,10.76,online,1,4,0,0,0,0
TXN0000002,2024-01-01 09:21:03,23.74,restaurant,0,9,0,0,0,0
TXN0000003,2024-01-01 10:48:05,1.53,grocery,0,10,0,0,0,0
TXN0000004,2024-01-01 10:55:36,8.55,fuel,1,10,0,0,0,0
TXN0000005,2024-01-01 13:26:46,191.85,fuel,1,13,0,0,0,0
TXN0000006,2024-01-01 13:32:55,89.7,retail,0,13,0,0,0,0
TXN0000007,2024-01-01 14:32:52,161.23,travel,1,14,0,0,0,0
TXN0000008,2024-01-01 14:33:19,175.08,retail,0,14,0,0,0,0
TXN0000009,2024-01-01 20:13:29,74.26,restaurant,1,20,0,0,0,0
TXN0000010,2024-01-02 02:27:40,19.23,grocery,1,2,1,0,0,0
TXN0000011,2024-01-02 02:57:43,9.54,grocery,1,2,1,1,0,0
TXN0000012,2024-01-02 03:34:59,131.12,grocery,0,3,1,0,0,0
TXN0000013,2024-01-02 03:35:33,35.78,online,0,3,1,0,0,0
TXN0000014,2024-01-02 04:25:58,660.39,grocery,0,4,1,0,0,0
TXN0000015,2024-01-02 11:06:23,21.37,grocery,0,11,1,0,0,0
TXN0000016,2024-01-02 13:43:06,353.36,retail,1,13,1,0,0,0
TXN0000017,2024-01-02 14:21:41,27.44,grocery,0,14,1,1,0,0
TXN0000018,2024-01-02 15:25:15,164.56,grocery,1,15,1,0,0,0
TXN0000019,2024-01-02 16:27:38,253.67,retail,1,16,1,0,0,0
TXN0000020,2024-01-02 17:16:55,9.7,restaurant,1,17,1,0,0,0
TXN0000021,2024-01-02 17:29:03,18.5,retail,1,17,1,1,0,0
TXN0000022,2024-01-02 17:32:04,9.59,fuel,0,17,1,0,0,0
TXN0000023,2024-01-02 18:33:00,7.57,grocery,1,18,1,0,0,0
TXN0000024,2024-01-02 18:50:29,73.74,fuel,0,18,1,0,0,0
TXN0000025,2024-01-02 22:29:23,26.16,entertainment,0,22,1,0,0,0
